PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,Sweden,2010,,,Ammonia (NH3),23200.0
2026/02/13,Sweden,2022,3.0,Mineral industry,Zinc and compounds (as Zn),395.0
2026/02/13,Denmark,2019,3.0,Mineral industry,Nitrous oxide (N2O),56772.0
2026/02/13,Sweden,2018,4.0,Chemical industry,Carbon dioxide (CO2) excluding biomass,763770000.0
2026/02/13,Sweden,2016,2.0,Production and processing of metals,Chromium and compounds (as Cr),821.0
2026/02/13,Norway,2013,6.0,Paper and wood production and processing,Zinc and compounds (as Zn),667.0
2026/02/13,Denmark,2021,2.0,Production and processing of metals,Zinc and compounds (as Zn),74.62
2026/02/13,Denmark,2008,4.0,Chemical industry,Nitrogen oxides (NOX),308000.0
2026/02/13,Denmark,2009,2.0,Production and processing of metals,Nitrogen oxides (NOX),615000.0
2026/02/13,Sweden,2017,5.0,Waste and wastewater management,Ammonia (NH3),46700.0
2026/02/13,Norway,2016,5.0,Waste and wastewater management,Fluorides (as total F),1642.0
2026/02/13,Denmark,2020,6.0,Paper and wood production and processing,Copper and compounds (as Cu),0.0
2026/02/13,Norway,2011,2.0,Production and processing of metals,Polycyclic aromatic hydrocarbons (PAHs),5613.5
2026/02/13,Sweden,2013,4.0,Chemical industry,Nitrogen oxides (NOX),580000.0
2026/02/13,Denmark,2018,5.0,Waste and wastewater management,Polychlorinated biphenyls (PCBs),0.00054
2026/02/13,Sweden,2021,2.0,Production and processing of metals,Mercury and compounds (as Hg),82.8
2026/02/13,Sweden,2017,5.0,Waste and wastewater management,Methane (CH4),12074000.0
2026/02/13,Denmark,2021,3.0,Mineral industry,Fluorine and inorganic compounds (as HF),34083.0
2026/02/13,Denmark,2019,3.0,Mineral industry,Carbon monoxide (CO),5296925.0
2026/02/13,Sweden,2007,1.0,Energy sector,Particulate matter (PM10),52000.0
2026/02/13,Denmark,2009,2.0,Production and processing of metals,Hydrochlorofluorocarbons (HCFCs),7.0
2026/02/13,Sweden,2008,3.0,Mineral industry,Non-methane volatile organic compounds (NMVOC),106000.0
2026/02/13,Denmark,2024,5.0,Waste and wastewater management,Carbon dioxide (CO2),2356366397.4019
2026/02/13,Norway,2009,6.0,Paper and wood production and processing,Sulphur oxides (SOX),763000.0
2026/02/13,Sweden,2011,2.0,Production and processing of metals,Copper and compounds (as Cu),1477.0
2026/02/13,Sweden,2009,1.0,Energy sector,Hydrochlorofluorocarbons (HCFCs),2720.0
2026/02/13,Denmark,2020,3.0,Mineral industry,Carbon dioxide (CO2),2457940262.0
2026/02/13,Sweden,2012,2.0,Production and processing of metals,Chromium and compounds (as Cr),1326.0
2026/02/13,Sweden,2017,3.0,Mineral industry,Chlorine and inorganic compounds (as HCl),12700.0
2026/02/13,Sweden,2024,3.0,Mineral industry,Nitrogen oxides (NOX),1333463.0
2026/02/13,Norway,2013,4.0,Chemical industry,Fluorides (as total F),5612.0
2026/02/13,Denmark,2023,3.0,Mineral industry,Fluorine and inorganic compounds (as HF),21616.0
2026/02/13,Denmark,2022,3.0,Mineral industry,Carbon dioxide (CO2),2081128000.0
2026/02/13,Sweden,2020,2.0,Production and processing of metals,Benzene,6920.0
2026/02/13,Norway,2015,3.0,Mineral industry,Fluorides (as total F),4.1
2026/02/13,Sweden,2017,2.0,Production and processing of metals,Chlorine and inorganic compounds (as HCl),83100.0
2026/02/13,Sweden,2011,2.0,Production and processing of metals,Polycyclic aromatic hydrocarbons (PAHs),693.0
2026/02/13,Sweden,2019,6.0,Paper and wood production and processing,Nickel and compounds (as Ni),507.2
2026/02/13,Denmark,2013,4.0,Chemical industry,Hydro-fluorocarbons (HFCS),124.0
2026/02/13,Sweden,2020,2.0,Production and processing of metals,Perfluorocarbons (PFCs),8240.0
2026/02/13,Norway,2009,4.0,Chemical industry,Total organic carbon(as total C or COD/3) (TOC),2680.0
2026/02/13,Sweden,2024,1.0,Energy sector,Chromium and compounds (as Cr),136.6
2026/02/13,Sweden,2007,1.0,Energy sector,Nitrous oxide (N2O),442800.0
2026/02/13,Sweden,2013,1.0,Energy sector,Hydro-fluorocarbons (HFCS),3444.0
2026/02/13,Sweden,2024,3.0,Mineral industry,Sulphur oxides (SOX),152546.0
2026/02/13,Sweden,2015,3.0,Mineral industry,Carbon monoxide (CO),5633000.0
2026/02/13,Sweden,2021,6.0,Paper and wood production and processing,Sulphur oxides (SOX),1994000.0
2026/02/13,Sweden,2008,2.0,Production and processing of metals,Fluorine and inorganic compounds (as HF),353500.0
2026/02/13,Sweden,2023,2.0,Production and processing of metals,Chlorine and inorganic compounds (as HCl),79362.0
2026/02/13,Sweden,2014,1.0,Energy sector,Benzene,110900.0
2026/02/13,Sweden,2022,4.0,Chemical industry,Trichloromethane,3000.0
2026/02/13,Sweden,2007,,,Non-methane volatile organic compounds (NMVOC),561000.0
2026/02/13,Sweden,2018,9.0,Other activities,Non-methane volatile organic compounds (NMVOC),461000.0
2026/02/13,Denmark,2020,1.0,Energy sector,Chromium and compounds (as Cr),2.28
2026/02/13,Sweden,2010,4.0,Chemical industry,"1,2-dichloroethane (DCE-1,2)",35500.0
2026/02/13,Denmark,2020,6.0,Paper and wood production and processing,Chromium and compounds (as Cr),0.0
2026/02/13,Sweden,2021,5.0,Waste and wastewater management,Carbon dioxide (CO2) excluding biomass,1726440000.0
2026/02/13,Denmark,2019,7.0,Intensive livestock production and aquaculture,Ammonia (NH3),1328651.40527
2026/02/13,Sweden,2010,6.0,Paper and wood production and processing,Nitrogen oxides (NOX),13050000.0
2026/02/13,Sweden,2013,2.0,Production and processing of metals,Copper and compounds (as Cu),820.0
2026/02/13,Sweden,2010,2.0,Production and processing of metals,Benzene,9700.0
2026/02/13,Sweden,2013,2.0,Production and processing of metals,Carbon monoxide (CO),22800000.0
2026/02/13,Denmark,2012,4.0,Chemical industry,Nitrogen oxides (NOX),339000.0
2026/02/13,Denmark,2024,5.0,Waste and wastewater management,Ammonia (NH3),1682.83
2026/02/13,Denmark,2010,5.0,Waste and wastewater management,Nitrogen oxides (NOX),2519000.0
2026/02/13,Sweden,2017,9.0,Other activities,Hydro-fluorocarbons (HFCS),155.0
2026/02/13,Denmark,2021,4.0,Chemical industry,Carbon dioxide (CO2),48498628.0
2026/02/13,Sweden,2021,1.0,Energy sector,Nitrogen oxides (NOX),2860000.0
2026/02/13,Sweden,2017,2.0,Production and processing of metals,Sulphur hexafluoride (SF6),300.0
2026/02/13,Denmark,2016,5.0,Waste and wastewater management,Ammonia (NH3),12400.0
2026/02/13,Denmark,2024,4.0,Chemical industry,Ammonia (NH3),14440.2
2026/02/13,Denmark,2019,5.0,Waste and wastewater management,Polycyclic aromatic hydrocarbons (PAHs),0.003316
2026/02/13,Sweden,2007,3.0,Mineral industry,Carbon monoxide (CO),2440000.0
2026/02/13,Denmark,2012,1.0,Energy sector,Sulphur oxides (SOX),2122000.0
2026/02/13,Denmark,2021,2.0,Production and processing of metals,Copper and compounds (as Cu),0.44
2026/02/13,Denmark,2020,3.0,Mineral industry,Nitrous oxide (N2O),59600.0
2026/02/13,Denmark,2016,4.0,Chemical industry,Hydrochlorofluorocarbons (HCFCs),149.0
2026/02/13,Norway,2016,2.0,Production and processing of metals,Fluorides (as total F),417300.0
2026/02/13,Norway,2014,4.0,Chemical industry,Methane (CH4),546000.0
2026/02/13,Sweden,2019,6.0,Paper and wood production and processing,Sulphur oxides (SOX),2090000.0
2026/02/13,Denmark,2015,3.0,Mineral industry,Nitrogen oxides (NOX),2184000.0
2026/02/13,Sweden,2009,3.0,Mineral industry,Particulate matter (PM10),66400.0
2026/02/13,Sweden,2019,2.0,Production and processing of metals,Perfluorocarbons (PFCs),6230.0
2026/02/13,Sweden,2020,4.0,Chemical industry,Non-methane volatile organic compounds (NMVOC),794000.0
2026/02/13,Sweden,2022,5.0,Waste and wastewater management,Nitrogen oxides (NOX),1753000.0
2026/02/13,Sweden,2009,2.0,Production and processing of metals,Carbon dioxide (CO2) excluding biomass,2589000000.0
2026/02/13,Sweden,2015,5.0,Waste and wastewater management,Methane (CH4),12848000.0
2026/02/13,Denmark,2009,5.0,Waste and wastewater management,Mercury and compounds (as Hg),31.7
2026/02/13,Sweden,2019,6.0,Paper and wood production and processing,Carbon dioxide (CO2),23148000000.0
2026/02/13,Sweden,2008,6.0,Paper and wood production and processing,Carbon dioxide (CO2) excluding biomass,1011790000.0
2026/02/13,Sweden,2007,2.0,Production and processing of metals,Naphthalene,16962.0
2026/02/13,Sweden,2013,6.0,Paper and wood production and processing,Cadmium and compounds (as Cd),12.3
2026/02/13,Sweden,2016,4.0,Chemical industry,Hydro-fluorocarbons (HFCS),498.0
2026/02/13,Sweden,2013,1.0,Energy sector,Non-methane volatile organic compounds (NMVOC),8410000.0
2026/02/13,Denmark,2013,3.0,Mineral industry,Nitrogen oxides (NOX),1780000.0
2026/02/13,Denmark,2010,1.0,Energy sector,Nitrogen oxides (NOX),9547000.0
2026/02/13,Norway,2014,6.0,Paper and wood production and processing,Hydrochlorofluorocarbons (HCFCs),8.0
2026/02/13,Norway,2015,4.0,Chemical industry,Fluoranthene,49.9
2026/02/13,Norway,2010,2.0,Production and processing of metals,Polycyclic aromatic hydrocarbons (PAHs),3862.5
2026/02/13,Norway,2007,4.0,Chemical industry,Lead and compounds (as Pb),200.0
2026/02/13,Denmark,2021,,,Carbon monoxide (CO),475.0
2026/02/13,Sweden,2009,,,Methane (CH4),1130000.0
2026/02/13,Denmark,2020,2.0,Production and processing of metals,Carbon dioxide (CO2),78595640.0
2026/02/13,Denmark,2020,5.0,Waste and wastewater management,Chlorine and inorganic compounds (as HCl),7470.0
2026/02/13,Denmark,2017,5.0,Waste and wastewater management,Nitrogen oxides (NOX),1828000.0
2026/02/13,Norway,2009,4.0,Chemical industry,Particulate matter (PM10),500600.0
2026/02/13,Sweden,2017,5.0,Waste and wastewater management,Nitrous oxide (N2O),147600.0
2026/02/13,Denmark,2009,3.0,Mineral industry,Nitrogen oxides (NOX),3996000.0
2026/02/13,Denmark,2022,9.0,Other activities,Non-methane volatile organic compounds (NMVOC),233989.0
2026/02/13,Sweden,2022,5.0,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0.00013
2026/02/13,Norway,2011,6.0,Paper and wood production and processing,Nitrogen oxides (NOX),1237000.0
2026/02/13,Norway,2012,6.0,Paper and wood production and processing,Zinc and compounds (as Zn),243.0
2026/02/13,Sweden,2023,4.0,Chemical industry,Nitrogen oxides (NOX),480098.0
2026/02/13,Denmark,2010,3.0,Mineral industry,Carbon dioxide (CO2),1420000000.0
2026/02/13,Denmark,2014,8.0,Animal and vegetable products from the food and beverage sector,Carbon dioxide (CO2),126000000.0
2026/02/13,Sweden,2017,2.0,Production and processing of metals,Benzene,7610.0
2026/02/13,Sweden,2010,6.0,Paper and wood production and processing,Hydro-fluorocarbons (HFCS),155.0
2026/02/13,Sweden,2010,2.0,Production and processing of metals,Naphthalene,252.0
2026/02/13,Norway,2013,5.0,Waste and wastewater management,Total organic carbon(as total C or COD/3) (TOC),6340.1
2026/02/13,Denmark,2017,3.0,Mineral industry,Particulate matter (PM10),144300.0
2026/02/13,Norway,2014,1.0,Energy sector,Nitrogen oxides (NOX),2715000.0
2026/02/13,Denmark,2007,3.0,Mineral industry,Sulphur oxides (SOX),4880000.0
2026/02/13,Sweden,2023,5.0,Waste and wastewater management,Carbon dioxide (CO2) excluding biomass,1303329179.0
2026/02/13,Denmark,2015,1.0,Energy sector,Nitrogen oxides (NOX),8956000.0
2026/02/13,Denmark,2024,9.0,Other activities,Nitrogen oxides (NOX),21281.0
2026/02/13,Sweden,2012,6.0,Paper and wood production and processing,Carbon dioxide (CO2) excluding biomass,794590000.0
2026/02/13,Sweden,2022,6.0,Paper and wood production and processing,Nitrous oxide (N2O),411600.0
2026/02/13,Sweden,2007,2.0,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.002938
2026/02/13,Sweden,2024,6.0,Paper and wood production and processing,Carbon monoxide (CO),19601048.0
2026/02/13,Denmark,2020,4.0,Chemical industry,Particulate matter (PM10),4408.1
2026/02/13,Sweden,2012,2.0,Production and processing of metals,Benzene,9700.0
2026/02/13,Sweden,2011,2.0,Production and processing of metals,Mercury and compounds (as Hg),140.0
2026/02/13,Sweden,2008,1.0,Energy sector,Zinc and compounds (as Zn),226.0
